"date","close","volume","open","high","low"
"2016/04/27","108.8900","50504560.0000","107.9400","108.9400","106.3100"
"2016/04/26","108.7600","22393840.0000","110.4900","110.5000","108.1500"
"2016/04/25","110.1000","20997040.0000","109.8700","110.6700","109.0700"
"2016/04/22","110.5600","38397070.0000","111.2100","111.7500","109.0100"
"2016/04/21","113.4400","20711310.0000","112.5500","114.0400","112.3100"
"2016/04/20","112.4200","21020820.0000","112.4300","113.2700","111.5600"
"2016/04/19","112.2900","30177490.0000","111.1000","112.4500","109.1600"
"2016/04/18","110.4500","21127750.0000","109.7400","110.8100","109.2000"
"2016/04/15","109.6400","20793730.0000","110.7900","110.9700","109.2000"
"2016/04/14","110.8400","28439970.0000","110.6200","112.0400","110.2600"
"2016/04/13","110.5100","88165850.0000","112.2300","112.6500","106.5200"
"2016/04/12","110.6100","26190250.0000","109.3400","111.1645","108.9900"
"2016/04/11","108.9900","39707140.0000","110.7000","110.9100","108.7700"
"2016/04/08","110.6300","48467350.0000","114.2500","114.3300","109.9000"
"2016/04/07","113.6400","20683460.0000","113.7900","114.8900","113.0663"
"2016/04/06","113.7100","20794390.0000","112.4700","113.8100","112.4200"
"2016/04/05","112.2200","22779490.0000","112.1100","113.3200","111.9000"
"2016/04/04","112.5500","48418260.0000","114.0700","114.5500","111.6100"
"2016/04/01","116.0600","24751160.0000","113.7500","116.1700","113.3500"
"2016/03/31","114.1000","21171030.0000","114.7000","115.0100","113.7682"
"2016/03/30","114.7000","33196410.0000","116.7300","116.9900","114.3550"
"2016/03/29","116.1400","29789720.0000","113.8300","116.3200","113.6400"
"2016/03/28","113.6900","21332720.0000","113.3200","114.5889","112.9500"
"2016/03/24","113.0500","17157540.0000","112.1300","113.0900","111.6800"
"2016/03/23","112.5400","18546450.0000","112.0100","113.1900","112.0000"
"2016/03/22","112.2500","18989920.0000","111.3600","112.8800","111.1700"
"2016/03/21","111.8500","18430870.0000","111.6600","112.3700","111.0300"
"2016/03/18","111.4500","36265530.0000","111.5600","112.4200","110.2700"
"2016/03/17","111.0200","24215410.0000","112.1500","112.6900","110.7300"
"2016/03/16","112.1800","24696190.0000","110.4900","112.5000","110.1000"
"2016/03/15","110.6700","17596280.0000","109.1100","110.8300","108.8400"
"2016/03/14","109.8900","17240940.0000","109.2800","110.3300","108.7700"
"2016/03/11","109.4100","20667610.0000","108.4800","109.4200","107.9200"
"2016/03/10","107.3200","24835810.0000","107.9100","108.6600","105.7699"
"2016/03/09","107.5100","20458320.0000","106.7000","107.5100","105.4900"
"2016/03/08","105.9300","25582660.0000","104.7800","107.3700","104.4000"
"2016/03/07","105.7300","31487180.0000","108.0700","108.0700","104.7200"
"2016/03/04","108.3900","24908230.0000","110.0500","110.0500","107.9300"
"2016/03/03","109.5800","21337720.0000","110.2500","110.3000","108.5400"
"2016/03/02","109.9500","25656490.0000","109.6800","110.5500","108.7700"
"2016/03/01","109.8200","26743550.0000","107.8300","109.8200","107.6000"
"2016/02/29","106.9200","32739960.0000","107.6000","108.9101","106.7500"
"2016/02/26","107.9200","26658020.0000","108.7000","109.4500","107.1600"
"2016/02/25","108.0700","29862100.0000","107.1100","108.0700","105.6100"
"2016/02/24","106.8800","34313290.0000","104.2100","106.9500","102.7400"
"2016/02/23","105.4600","25279170.0000","106.8500","107.4700","105.1200"
"2016/02/22","107.1600","35675920.0000","105.4900","108.2500","105.3400"
"2016/02/19","104.5700","32385500.0000","102.5500","105.0200","102.0600"
"2016/02/18","103.4700","29543040.0000","105.8000","106.0000","103.0300"
"2016/02/17","105.2000","44009090.0000","101.9400","105.7200","100.4000"
"2016/02/16","101.6100","45604490.0000","103.8000","103.9300","100.2400"
"2016/02/12","102.0100","36158700.0000","103.7400","104.2400","101.0900"
"2016/02/11","101.9100","43598890.0000","99.6000","105.1100","98.8800"
"2016/02/10","101.0000","45044840.0000","101.5500","103.2500","100.2400"
"2016/02/09","99.5400","62616740.0000","97.1400","102.4000","96.8200"
"2016/02/08","99.7500","71119290.0000","100.4100","102.6800","97.4600"
"2016/02/05","104.0700","76801180.0000","109.5100","109.5800","103.1800"
"2016/02/04","110.4900","38784240.0000","111.8000","111.9400","109.2500"
"2016/02/03","112.6900","56867520.0000","115.2700","115.3407","109.7500"
"2016/02/02","114.6100","59704890.0000","114.8000","117.5900","113.2000"
"2016/02/01","115.0900","46025570.0000","112.2700","115.7200","112.0100"
"2016/01/29","112.2100","62660640.0000","108.9900","112.8400","108.8400"
"2016/01/28","109.1100","107251300.0000","107.2000","110.3400","104.8100"
"2016/01/27","94.4500","53505580.0000","97.7900","97.8500","94.2300"
"2016/01/26","97.3400","26749760.0000","97.7600","97.8800","95.6600"
"2016/01/25","97.0100","32382100.0000","98.7200","99.4800","96.9300"
"2016/01/22","97.9400","30371970.0000","96.4100","98.0700","95.4900"
"2016/01/21","94.1600","30479780.0000","94.9100","95.9900","92.6200"
"2016/01/20","94.3500","59015930.0000","92.8300","95.0000","89.3700"
"2016/01/19","95.2600","30840640.0000","96.5300","97.4200","93.9200"
"2016/01/15","94.9700","46068460.0000","93.9800","96.3800","93.5400"
"2016/01/14","98.3700","48617610.0000","95.8500","98.8700","92.4500"
"2016/01/13","95.4400","33297700.0000","100.5800","100.5800","95.2100"
"2016/01/12","99.3700","28301680.0000","99.0000","99.9600","97.5500"
"2016/01/11","97.5100","29896390.0000","97.9100","98.6000","95.3900"
"2016/01/08","97.3300","35351010.0000","99.8800","100.5000","97.0311"
"2016/01/07","97.9200","45038210.0000","100.5000","101.4300","97.3000"
"2016/01/06","102.9700","25046390.0000","101.1300","103.7700","100.9000"
"2016/01/05","102.7300","23238890.0000","102.8900","103.7099","101.6650"
"2016/01/04","102.2200","37846820.0000","101.9500","102.2400","99.7500"
"2015/12/31","104.6600","18382210.0000","106.0000","106.1700","104.6200"
"2015/12/30","106.2200","13103910.0000","107.0000","107.2500","106.0600"
"2015/12/29","107.2600","17149240.0000","106.4200","107.7400","106.2500"
"2015/12/28","105.9300","13045160.0000","105.0200","105.9800","104.5300"
"2015/12/24","105.0200","6512134.0000","104.7400","105.3200","104.5000"
"2015/12/23","104.6300","19571550.0000","105.8900","106.1100","103.8600"
"2015/12/22","105.5100","14584780.0000","105.2200","105.6601","104.8100"
"2015/12/21","104.7700","16105710.0000","104.9100","105.1500","103.6000"
"2015/12/18","104.0400","35810840.0000","106.0800","106.5900","103.9700"
"2015/12/17","106.2200","21580540.0000","107.4900","107.7500","106.1300"
"2015/12/16","106.7900","22095830.0000","105.3700","107.0900","104.1900"
"2015/12/15","104.5500","21697070.0000","105.3000","105.8000","104.2800"
"2015/12/14","104.6600","24693110.0000","102.2850","104.7400","101.4600"
"2015/12/11","102.1200","26357790.0000","104.1500","104.3400","101.9100"
"2015/12/10","105.4200","17435630.0000","105.0500","106.4000","104.4100"
"2015/12/09","104.6000","23468200.0000","106.1800","106.4400","103.5500"
"2015/12/08","106.4900","20376290.0000","104.0000","106.9100","103.9500"
"2015/12/07","105.6100","15447530.0000","106.4800","106.8300","104.6600"
"2015/12/04","106.1800","21212310.0000","104.8100","107.7300","104.1100"
"2015/12/03","104.3800","23193110.0000","106.2700","106.8500","103.3500"
"2015/12/02","106.0700","24334420.0000","107.0000","107.9200","105.7900"
"2015/12/01","107.1200","22743200.0000","104.8300","107.1500","104.5000"
"2015/11/30","104.2400","20055950.0000","105.8400","106.0999","103.7500"
"2015/11/27","105.4500","5913066.0000","105.7800","105.9600","104.8600"
"2015/11/25","105.4100","15140370.0000","106.3300","106.6000","105.1000"
"2015/11/24","105.7400","23512790.0000","106.0000","106.4900","104.3900"
"2015/11/23","106.9500","19740130.0000","107.1900","107.4680","106.0800"
"2015/11/20","107.3200","22102030.0000","106.8400","107.8700","106.6200"
"2015/11/19","106.2600","25492640.0000","107.3600","107.7300","105.9500"
"2015/11/18","107.7700","23797450.0000","105.8000","107.8800","105.3900"
"2015/11/17","105.1300","26774350.0000","104.6200","106.2000","104.1400"
"2015/11/16","104.0400","49256510.0000","103.3200","104.1700","100.4700"
"2015/11/13","103.9500","30161510.0000","107.7100","108.2500","103.8300"
"2015/11/12","108.0200","20852000.0000","108.4800","109.3900","108.0000"
"2015/11/11","109.0100","25023690.0000","108.2700","109.8700","107.1100"
"2015/11/10","107.9100","24999520.0000","105.9600","108.1500","105.2400"
"2015/11/09","106.4900","26354740.0000","107.0000","108.2500","105.8600"
"2015/11/06","107.0950","35046680.0000","108.0400","108.7400","105.9100"
"2015/11/05","108.7600","63142550.0000","108.8000","110.6500","107.9500"
"2015/11/04","103.9400","41832160.0000","103.1900","104.1400","102.4800"
"2015/11/03","102.5800","21178920.0000","103.2200","103.6500","102.4000"
"2015/11/02","103.3100","23972130.0000","102.4600","103.4700","101.1800"
