date,close,volume,open,high,low
04/23/15,82.41,73607220.00,84.10,85.59,82.41
04/22/15,84.63,43286780.00,84.32,84.74,83.65
04/21/15,83.62,26824310.00,84.00,84.49,83.54
04/20/15,83.09,28700450.00,81.54,83.15,81.24
04/17/15,80.78,24156000.00,81.48,82.11,80.37
04/16/15,82.31,13678800.00,82.47,83.07,82.15
04/15/15,82.71,22358670.00,83.55,83.66,82.27
04/14/15,83.52,19612620.00,83.17,83.69,82.44
04/13/15,83.01,26868830.00,81.93,83.94,81.92
04/10/15,82.04,12501090.00,82.21,82.61,81.91
04/09/15,82.17,15902970.00,82.50,82.80,81.71
04/08/15,82.28,18936170.00,82.63,83.10,81.84
04/07/15,82.32,17442950.00,82.65,83.42,82.22
04/06/15,82.44,19008980.00,80.80,82.81,80.80
04/02/15,81.56,19631440.00,82.25,82.56,81.44
04/01/15,81.67,22028080.00,82.50,82.72,80.87
03/31/15,82.22,19705200.00,82.90,83.50,82.21
03/30/15,83.20,24506180.00,83.81,84.34,82.41
03/27/15,83.30,18313110.00,83.38,83.95,82.88
03/26/15,83.01,32754510.00,82.72,83.77,82.14
03/25/15,82.92,37348640.00,85.50,85.52,82.92
03/24/15,85.31,32507390.00,84.71,86.07,84.52
03/23/15,84.43,27291310.00,83.92,84.96,83.30
03/20/15,83.80,44405260.00,83.39,84.60,83.07
03/19/15,82.75,42047570.00,81.12,83.00,81.00
03/18/15,80.91,36732660.00,79.25,81.24,79.17
03/17/15,79.37,22105760.00,78.36,79.78,78.34
03/16/15,78.07,19289450.00,77.96,78.12,77.36
03/13/15,78.05,18481750.00,78.60,79.38,77.68
03/12/15,78.93,16069270.00,78.10,79.05,77.91
03/11/15,77.57,20141490.00,77.80,78.43,77.26
03/10/15,77.55,22965310.00,78.50,79.26,77.55
03/09/15,79.44,18908230.00,79.68,79.91,78.63
03/06/15,80.01,24457940.00,80.90,81.33,79.83
03/05/15,81.21,27792840.00,81.23,81.99,81.05
03/04/15,80.90,28057010.00,79.30,81.15,78.85
03/03/15,79.60,18602170.00,79.61,79.70,78.52
03/02/15,79.75,21645890.00,79.00,79.86,78.52
02/27/15,78.97,30705140.00,80.68,81.23,78.62
02/26/15,80.41,30980750.00,79.88,81.37,79.72
02/25/15,79.56,25546020.00,78.50,80.20,78.50
02/24/15,78.45,18871220.00,78.50,79.48,78.10
02/23/15,78.84,24105020.00,79.96,80.19,78.38
02/20/15,79.90,36904680.00,79.55,80.34,79.20
02/19/15,79.42,45778750.00,76.99,79.84,76.95
02/18/15,76.71,22410540.00,75.94,76.90,75.45
02/17/15,75.60,25243920.00,75.30,76.91,75.08
02/13/15,75.74,18487260.00,76.46,76.48,75.50
02/12/15,76.23,17212100.00,76.86,76.87,75.89
02/11/15,76.51,20817690.00,75.09,76.75,75.03
02/10/15,75.19,15783750.00,74.85,75.34,74.50
02/09/15,74.44,16182700.00,74.05,74.83,73.45
02/06/15,74.47,21131450.00,75.68,75.70,74.25
02/05/15,75.62,15002820.00,75.71,75.98,75.21
02/04/15,75.63,20246640.00,75.09,76.35,75.01
02/03/15,75.40,26921640.00,75.19,75.58,73.86
02/02/15,74.99,41901530.00,76.11,76.14,73.75
01/30/15,75.91,42540890.00,78.00,78.16,75.75
01/29/15,78.00,60670160.00,76.85,78.02,74.21
01/28/15,76.24,51281680.00,76.90,77.64,76.00
01/27/15,75.78,19982990.00,76.71,76.88,75.63
01/26/15,77.50,19229120.00,77.98,78.47,77.29
01/23/15,77.83,16711610.00,77.65,78.19,77.04
01/22/15,77.65,19491720.00,77.17,77.75,76.68
01/21/15,76.74,25079200.00,76.16,77.30,75.85
01/20/15,76.24,22765930.00,75.72,76.31,74.82
01/16/15,75.18,21744680.00,74.04,75.32,73.84
01/15/15,74.05,34058150.00,76.40,76.57,73.54
01/14/15,76.28,25831690.00,76.42,77.20,76.03
01/13/15,76.45,25149270.00,77.23,78.08,75.85
01/12/15,76.72,19150390.00,77.84,78.00,76.21
01/09/15,77.74,21146060.00,78.20,78.62,77.20
01/08/15,78.18,23931830.00,76.74,78.23,76.08
01/07/15,76.15,22015250.00,76.76,77.36,75.82
01/06/15,76.15,27365180.00,77.23,77.59,75.37
01/05/15,77.19,26392340.00,77.98,79.25,76.86
01/02/15,78.45,18141830.00,78.58,78.93,77.70
12/31/14,78.02,20004710.00,79.54,79.80,77.86
